epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.709,1.09568,1.574,1.59171,1.15238,0.76749,0.95886,0.93254,0.64068,0.76749,0.95886,0.93254,0.54991,1.15607,0.97917,1.04632,1.10973,0.000475681,0.000475681,0.000475681
2,213.975,0.93821,1.15342,1.03261,1.05144,0.8149,0.98957,0.90095,0.6123,0.8149,0.98957,0.90095,0.50553,1.09824,1.0148,0.81766,1.07484,0.000920598,0.000920598,0.000920598
3,317.133,0.88722,1.09978,0.89958,1.02395,0.87805,0.83434,0.92705,0.75523,0.87805,0.83434,0.92705,0.66754,0.79196,0.84281,0.77439,0.92389,0.00133408,0.00133408,0.00133408
4,415.234,0.82893,1.05019,0.82476,0.99743,0.89877,0.9,0.96643,0.75709,0.89877,0.9,0.96643,0.59074,0.75669,0.72639,0.6647,0.89685,0.00128753,0.00128753,0.00128753
5,513.601,0.8095,1.02497,0.77074,0.9851,0.85749,0.8964,0.92045,0.70853,0.85749,0.8964,0.92045,0.58439,0.9715,0.88251,0.80018,0.9365,0.00124037,0.00124037,0.00124037
6,591.96,0.77224,0.99384,0.7256,0.97139,0.85735,0.97146,0.97167,0.76604,0.85735,0.97146,0.97167,0.607,0.81599,0.96793,0.70917,0.85446,0.00119322,0.00119322,0.00119322
7,677.442,0.74894,0.9709,0.70446,0.96117,0.90316,0.97188,0.97833,0.80733,0.90316,0.97188,0.97833,0.67948,0.72191,0.67533,0.62518,0.8564,0.00114606,0.00114606,0.00114606
8,751.221,0.72845,0.94978,0.6786,0.95667,0.95587,0.8871,0.96643,0.77192,0.95587,0.8871,0.96643,0.60628,0.81585,0.79416,0.57007,0.95054,0.0010989,0.0010989,0.0010989
9,824.568,0.71888,0.94124,0.65665,0.95053,0.83361,0.83814,0.95083,0.77969,0.83361,0.83814,0.95083,0.61289,0.70292,0.78132,0.60161,0.99441,0.00105174,0.00105174,0.00105174
10,897.676,0.69959,0.92869,0.63567,0.94565,0.9353,0.88559,0.95056,0.76545,0.9353,0.88559,0.95056,0.64015,0.795,0.70942,0.59709,0.95429,0.00100459,0.00100459,0.00100459
11,971.556,0.69172,0.91069,0.62903,0.9423,0.86758,0.89321,0.96643,0.7983,0.86758,0.89321,0.96643,0.68555,0.70002,0.64152,0.57528,0.90204,0.00095743,0.00095743,0.00095743
12,1045.44,0.68191,0.9067,0.60955,0.93758,1,0.83956,0.96643,0.77803,1,0.83956,0.96643,0.67838,0.69019,0.65789,0.50809,0.90341,0.000910273,0.000910273,0.000910273
13,1119.05,0.67668,0.9026,0.60485,0.93676,0.97188,0.85278,0.9575,0.79405,0.97188,0.85278,0.9575,0.65399,0.64542,0.69436,0.50285,0.93555,0.000863116,0.000863116,0.000863116
14,1192.49,0.66339,0.88594,0.59199,0.93009,0.96421,0.85581,0.96643,0.79274,0.96421,0.85581,0.96643,0.64921,0.73049,0.66667,0.48558,0.93623,0.000815959,0.000815959,0.000815959
15,1265.6,0.65502,0.88925,0.58374,0.93191,0.9424,0.89028,0.97833,0.80704,0.9424,0.89028,0.97833,0.67262,0.6486,0.68099,0.49991,0.90327,0.000768802,0.000768802,0.000768802
16,1339.26,0.65494,0.88786,0.57649,0.92911,0.9892,0.86381,0.96643,0.81307,0.9892,0.86381,0.96643,0.68412,0.65126,0.66655,0.49835,0.86066,0.000721645,0.000721645,0.000721645
17,1414.92,0.63124,0.85237,0.55235,0.92096,0.98275,0.8874,0.9575,0.80154,0.98275,0.8874,0.9575,0.66153,0.63679,0.62868,0.48545,0.89241,0.000674488,0.000674488,0.000674488
18,1489.79,0.62527,0.85536,0.54527,0.91963,0.99208,0.86108,0.95056,0.81946,0.99208,0.86108,0.95056,0.69085,0.55542,0.60198,0.53465,0.78981,0.000627331,0.000627331,0.000627331
19,1563.84,0.61604,0.84648,0.53498,0.92024,0.99054,0.97059,0.995,0.86177,0.99054,0.97059,0.995,0.68654,0.60653,0.63512,0.4549,0.80779,0.000580174,0.000580174,0.000580174
20,1637.81,0.6174,0.84812,0.52824,0.91513,0.98636,0.89393,0.96643,0.78832,0.98636,0.89393,0.96643,0.65208,0.66424,0.62912,0.52133,0.82747,0.000533017,0.000533017,0.000533017
21,1722.57,0.55551,0.71626,0.5027,0.90042,0.9033,0.89609,0.97833,0.87594,0.9033,0.89609,0.97833,0.67046,0.55579,0.66344,0.47722,0.83476,0.00048586,0.00048586,0.00048586
22,1795.05,0.55115,0.70266,0.48537,0.89272,0.95421,0.92934,0.975,0.814,0.95421,0.92934,0.975,0.66842,0.63118,0.61406,0.51338,0.86565,0.000438703,0.000438703,0.000438703
23,1868.15,0.53228,0.69086,0.4627,0.88939,0.97454,0.8375,0.93179,0.78688,0.97454,0.8375,0.93179,0.66812,0.62589,0.67746,0.55378,0.87828,0.000391546,0.000391546,0.000391546
24,1940.43,0.5275,0.69635,0.45116,0.89087,0.97936,0.8375,0.95006,0.80532,0.97936,0.8375,0.95006,0.66674,0.64459,0.6427,0.52547,0.86196,0.000344389,0.000344389,0.000344389
25,2013.18,0.51273,0.68083,0.43671,0.88146,0.98938,0.8375,0.94071,0.81759,0.98938,0.8375,0.94071,0.66874,0.64529,0.63508,0.58381,0.8647,0.000297232,0.000297232,0.000297232
26,2085.97,0.50456,0.66443,0.42724,0.88273,0.9841,0.8375,0.95833,0.82258,0.9841,0.8375,0.95833,0.72408,0.56903,0.58897,0.55028,0.8379,0.000250075,0.000250075,0.000250075
27,2158.55,0.49127,0.66774,0.41719,0.87707,1,0.98092,0.995,0.8755,1,0.98092,0.995,0.73937,0.56236,0.5974,0.48769,0.83248,0.000202918,0.000202918,0.000202918
28,2230.79,0.48063,0.65022,0.40167,0.87602,1,0.9823,0.995,0.87493,1,0.9823,0.995,0.73934,0.54853,0.58535,0.41093,0.80806,0.000155761,0.000155761,0.000155761
29,2302.71,0.473,0.64855,0.39613,0.87461,0.95663,0.93007,0.98833,0.87965,0.95663,0.93007,0.98833,0.68419,0.55724,0.59398,0.44809,0.82207,0.000108604,0.000108604,0.000108604
30,2375.63,0.46329,0.64629,0.38721,0.87042,0.95308,0.92988,0.98833,0.86159,0.95308,0.92988,0.98833,0.69571,0.53027,0.56554,0.46308,0.82715,6.1447e-05,6.1447e-05,6.1447e-05
